"","data.super.Csize","stratum"
"0",16.0198525672856,"02"
"1",16.3551905586352,"02"
"2",16.6376418535531,"02"
"3",14.7975246562832,"02"
"4",15.2048077450157,"02"
"5",15.2372639006685,"02"
"6",15.835681462303,"02"
"7",16.4831259708927,"02"
"8",16.3601566300615,"02"
"9",15.2976103832652,"02"
"10",15.8347709061566,"02"
"11",15.9086668431927,"02"
"12",16.1332505694825,"02"
"13",16.8375463323877,"02"
"14",16.7564939195694,"02"
"15",15.5239965838299,"04"
"16",15.3795711504062,"04"
"17",15.7372709296178,"04"
"18",15.6873659048139,"04"
"19",15.5803302665984,"04"
"20",15.4766659188131,"04"
"21",14.4724856062834,"04"
"22",14.2373698325187,"04"
"23",14.3289097902473,"04"
"24",16.1567718819846,"04"
"25",16.150270385954,"04"
"26",16.0748340985084,"04"
"27",16.1500537643065,"06"
"28",16.6279861995079,"06"
"29",16.5653309420139,"06"
"30",14.8725526408234,"06"
"31",15.3879066532789,"06"
"32",15.4219446020611,"06"
"33",17.3442116866659,"06"
"34",17.3442116866659,"06"
"35",17.2745148851221,"06"
"36",16.0431278887272,"06"
"37",16.4756339579381,"06"
"38",16.3500613000983,"06"
"39",15.6669845547705,"06"
"40",15.9793752250894,"06"
"41",16.2930075439398,"06"
"42",15.216559321684,"10"
"43",15.0537251674413,"10"
"44",15.1329753587325,"10"
"45",16.3089389822096,"10"
"46",16.2681859695073,"10"
"47",16.2708233479024,"10"
"48",16.1526978061497,"10"
"49",16.0871615879979,"10"
"50",16.186754615694,"10"
"51",16.6150122358836,"10"
"52",16.5118385030482,"10"
"53",16.5867653201984,"10"
"54",15.3655533331206,"10"
"55",15.5133639316302,"10"
"56",15.3748504854975,"10"
"57",16.6885326744611,"11"
"58",17.0609570661857,"11"
"59",16.9168281384224,"11"
"60",17.7534641620374,"11"
"61",18.3128152184176,"11"
"62",18.2733507435641,"11"
"63",16.2609756807506,"11"
"64",16.6543847311966,"11"
"65",16.6136577165348,"11"
"66",15.8113686003518,"11"
"67",16.2667329705157,"11"
"68",16.3121546012777,"11"
"69",16.2699281427603,"11"
"70",16.6247666306275,"11"
"71",16.7349512308523,"11"
