"","totals"
"0",0.0184148489651263
"1",0.0315146130347683
"2",0.0339662014575643
"3",0.028362395256431
"4",0.0184892548871098
"5",0.0277427747348713
"6",0.0269569935522648
"7",0.037894583408669
"8",0.0359281477893131
"9",0.0321961320755726
"10",0.0335570006264792
"11",0.03060593269008
"12",0.0377604462597075
"13",0.0194466422959679
"14",0.0281440062541107
"15",0.018511751013397
"16",0.0228101662944434
"17",0.0298974327712313
"18",0.0212669951301875
"19",-0.00255185209536841
"20",0.0425788362657169
"21",0.0330692822958436
"22",0.0390633095957562
"23",0.0448344184903058
"24",0.0253678249216954
"25",0.0292966716263479
"26",0.0271212265378934
"27",0.0320085964882017
"28",0.0134712727439503
"29",0.0254427824342006
"30",0.049376128382532
"31",0.027881429579868
"32",0.0297849184295905
"33",0.0543125846482334
"34",0.0482004465353756
"35",0.0610715391675944
"36",0.0595733995986006
"37",0.0528826183940947
"38",0.0488730146707873
"39",0.058093092570108
"40",0.0575053894674559
"41",0.053623170455237
"42",0.0881188699977709
"43",0.0673759064159506
"44",0.0383130489867529
"45",0.0770744286714154
"46",-0.0609687983570382
"47",-0.0513205706701546
"48",-0.0918260624373777
"49",-0.0599013969650226
"50",-0.0894289440668709
"51",-0.074877258497976
"52",-0.0631572719617848
"53",-0.0414129265027295
"54",-0.0667337117338136
"55",-0.0657951285685768
"56",-0.0593295598528497
"57",-0.0586899669464775
"58",-0.0843425965929799
"59",-0.0646338427686537
"60",-0.0660635717676079
"61",-0.0786923413309051
"62",-0.0617698107013195
"63",-0.078998341672067
"64",-0.0541823226787727
"65",-0.0581704290515307
"66",-0.0785113002903034
"67",-0.0641780794968143
"68",-0.0733945916143147
"69",-0.0613106848753772
"70",-0.0581583750949888
"71",-0.0622076750899519
"72",-0.0608684839220753
"73",-0.0600635812315787
"74",-0.0406070967860434
"75",-0.0864394166083078
"76",-0.0758419155718391
"77",-0.0629531876259864
"78",-0.099549013490812
"79",-0.0867370233186775
"80",-0.0791328861507487
"81",-0.0733210453161941
"82",-0.0783886649657661
"83",-0.0659815884720038
"84",-0.0633727455532657
"85",-0.0784376902022234
"86",-0.075914851849255
"87",-0.0679216479392705
"88",-0.00517368144182963
"89",0.00266592442532157
"90",0.0104974826165633
"91",-0.00250418944163361
"92",-0.000884441479776052
"93",0.0070421174818352
"94",0.00469897922310006
"95",-0.00454539689482919
"96",0.0169708061020634
"97",0.00349748751932785
"98",0.00382552864117536
"99",0.0113117075318459
"100",0.0106345599220546
"101",0.00674269829780124
"111",0.006842210084751
"123",0.0114825766986446
"124",0.00304171223623836
"125",0.0199975408711102
"126",0.0142141697060988
"127",0.0166426401310965
"128",0.0158724261986654
"129",0.0249781684467882
"130",0.00488872633856313
"131",-0.0042864376492266
"132",0.0107103197020664
"133",0.00717482704187896
"134",-0.0509607304927402
"135",-0.0396757404295845
"136",-0.039823836970866
"137",-0.0434241961134632
"138",-0.0263976430174081
"139",-0.0672664878119437
"140",-0.0730507357494279
"141",-0.0732569908589342
"142",-0.0617666597501994
"143",-0.0636789367767711
"144",-0.0755471065691247
"145",-0.0660101300585635
"146",-0.056161364112274
"147",-0.0905529895650679
"148",-0.0548250470545217
"149",-0.0421713629475321
"150",-0.0522431878307597
"151",-0.049572902626464
"152",-0.0709226646417215
"153",-0.0434609838733392
"154",-0.0671085755040962
"155",-0.0652940400420571
"156",-0.0503672885469062
"157",-0.0579108938753028
"158",-0.065381522500687
"159",-0.0584501719462839
"160",-0.0204540741668316
"161",0.0811063537399209
"162",0.0870336029758146
"163",0.0993200263747175
"164",0.0727722242618875
"165",0.0891734239289018
"166",0.1001178862618
"167",0.0826127145397855
"168",0.0966844457043438
"169",0.0752858676912059
"170",0.0889024604768078
"171",0.0881512507915882
"172",0.105724974596061
"174",0.102420744295597
"175",0.0891445750442254
"176",0.115190228985892
"177",0.0909909943140432
"178",0.0862562766055354
"179",0.092481523500237
"180",0.0852133862863879
"181",0.121895584847094
"182",0.0918276194685124
"183",0.0959505827257774
"184",0.0777852216623652
"185",0.105497038186857
"186",0.0965937411050061
"187",0.102137674803741
"188",0.0774851031661715
