"","data.super.Csize"
"0",33.131512541922
"1",33.2601737036679
"2",33.2499230026448
"3",26.9807931499268
"4",26.439420983573
"5",26.342038717157
"6",29.3189105119516
"7",28.3089326445174
"8",28.4148075624026
"9",29.5150019071825
"10",29.8256932162138
"11",29.4812949645828
"12",29.9347392031505
"13",30.0548982043232
"14",30.3808736830439
"15",31.4119268139525
"16",31.5266271358096
"17",31.3202468166933
"18",28.5603445899912
"19",28.7031963990638
"20",28.5772476581613
"21",31.8182463237684
"22",31.8977033509407
"23",31.7930651762057
"24",32.041160594602
"25",31.9028682342704
"26",31.8462517739937
"27",28.6344585389825
"28",28.7024276454494
"29",28.8081374764378
"30",29.1207890091208
"31",28.9579185151667
"32",28.919379739118
"33",33.3045221795028
"34",30.1934653241563
"35",30.1485713127884
"36",27.6056265798143
"37",28.0068289622784
"38",27.8611618918634
"39",30.409529661621
"40",30.139020743534
"41",29.9023437969819
"42",30.9509446533943
"43",30.7433717743333
"44",30.596236890791
"45",34.0133671943763
"46",33.5819540625661
"47",33.2493428950068
"48",25.4773352002114
"49",25.8261731248279
"50",25.0100047627851
"51",30.5834273017198
"52",30.3862636204773
"53",30.1114159694428
"54",30.7644567137609
"55",29.5669095895055
"56",29.7607944260466
"57",30.4836717295641
"58",30.7556468975473
"59",30.6200605808497
"60",28.5500771746173
"61",27.5153848744761
"62",27.3722526869451
"63",30.4611369890757
"64",29.9049179384213
"65",29.4031495271241
"66",31.2237274372122
"67",31.3139770756736
"68",30.8654374909159
"69",30.3174260343854
"70",31.8923313720004
"71",31.6956595745284
